model,samples_per_state,repeat,discovered_ari_to_hidden_families,discovered_group_count,discovered_min_group_size,discovered_max_group_size,discovered_population_closure_tv,hidden_population_closure_tv,discovered_heldout_closure_tv,hidden_heldout_closure_tv,random_median_heldout_closure_tv,random_best_heldout_closure_tv,discovered_heldout_macro_log_loss,hidden_heldout_macro_log_loss,random_median_heldout_macro_log_loss
eta_0.02,100,15,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08914735099337749,0.08914735099337749,0.19362444812362034,0.17171840507726266,1.4994456965866367,1.4994456965866367,2.053769666067142
eta_0.02,100,16,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.0843294701986755,0.0843294701986755,0.19494136313465787,0.17774213576158945,1.4810158370428266,1.4810158370428266,2.0499100624942015
eta_0.02,100,17,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.09855891280353202,0.09855891280353202,0.19805532560706404,0.17124862030905078,1.5035566026461764,1.5035566026461766,2.055075723676084
eta_0.02,100,18,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08991790838852098,0.08991790838852098,0.19314707505518763,0.17012900110375276,1.5035193994721507,1.5035193994721507,2.055801927254272
eta_0.02,100,19,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08964886865342163,0.08964886865342163,0.1929515038631347,0.17284975165562913,1.5020966153095816,1.5020966153095818,2.0578280136283893
eta_0.02,100,20,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.09071743929359825,0.09071743929359825,0.19541425220750552,0.1767542770419426,1.4846303718883787,1.4846303718883784,2.0488086190697796
eta_0.02,100,21,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08634174944812363,0.08634174944812363,0.19515624999999998,0.17846854304635762,1.4928979909434545,1.4928979909434545,2.05301824238341
eta_0.02,100,22,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08490066225165564,0.08490066225165564,0.19941535596026488,0.17482133002207503,1.4602574228667613,1.4602574228667613,2.051303217795383
eta_0.02,100,23,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.0890224889624724,0.0890224889624724,0.19516418322295806,0.17439086644591614,1.4837288279117606,1.4837288279117606,2.0536064086551296
eta_0.02,100,24,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.09677773178807947,0.09677773178807948,0.19501655629139072,0.16863134657836645,1.4755288938933,1.4755288938933,2.0549416131194973
